Word,Time_s,F0_Hz,,,,,,
your,--undefined--,--undefined--,,,,,,
your,--undefined--,--undefined--,,,,,,
your,--undefined--,--undefined--,,,,,,
your,--undefined--,--undefined--,,,,,,
your,1.078274,271.698586,,,,,,
your,1.083446,261.616605,,,,,,
your,1.088619,263.707725,,,,,,
your,1.093791,256.287742,,,,,,
your,1.098964,244.946541,,,,,,
your,1.104136,220.911010,,,,,,
your,1.109308,204.873005,,,,,,
your,1.114481,215.076436,,,,,,
your,1.119653,213.347899,,,,,,
your,1.124826,211.466171,,,,,,
your,1.129998,210.670136,,,,,,
your,1.135170,210.514025,,,,,,
your,1.140343,210.131599,,,,,,
your,1.145515,210.374994,,,,,,
your,1.150688,211.910589,,,,,,
your,1.155860,213.446955,,,,,,
your,1.161033,214.454162,,,,,,
your,1.166205,215.843092,,,,,,
your,1.171377,217.224683,,,,,,
your,1.176550,218.329488,,,,,,
your,1.181722,218.536705,,,,,,
your,1.186895,218.724508,,,,,,
your,1.192067,218.711146,,,,,,
your,1.197239,218.687604,,,,,,
your,1.202412,218.091347,,,,,,
your,1.207584,216.910695,,,,,,
your,1.212757,216.048696,,,,,,
your,1.217929,215.336297,,,,,,
your,1.223101,215.671358,,,,,,
your,1.228274,214.196672,,,,,,
your,1.233446,213.484407,,,,,,
your,1.238619,212.851059,,,,,,
your,1.243791,211.628539,,,,,,
your,1.248964,210.829333,,,,,,
your,1.254136,209.878656,,,,,,
your,1.259308,210.080989,,,,,,
your,1.264481,210.443628,,,,,,
your,1.269653,210.997705,,,,,,
your,1.274826,211.434894,,,,,,
your,1.279998,211.083594,,,,,,
your,1.285170,211.251187,,,,,,
your,1.290343,211.206902,,,,,,
your,1.295515,211.626861,,,,,,
your,1.300688,211.509035,,,,,,
your,1.305860,211.364642,,,,,,
your,1.311033,210.983976,,,,,,
your,1.316205,210.491651,,,,,,
your,1.321377,209.322699,,,,,,
your,1.326550,207.786199,,,,,,
your,1.331722,207.181773,,,,,,
your,1.336895,206.800256,,,,,,
your,1.342067,205.938881,,,,,,
your,1.347239,204.912173,,,,,,
your,1.352412,202.984089,,,,,,
your,1.357584,200.952746,,,,,,
your,1.362757,199.472479,,,,,,
your,1.367929,202.255828,,,,,,
your,1.373101,206.169537,,,,,,
your,1.378274,206.748109,,,,,,
your,1.383446,205.899760,,,,,,
your,1.388619,205.664695,,,,,,
your,--undefined--,--undefined--,,,,,,
your,--undefined--,--undefined--,,,,,,
your,--undefined--,--undefined--,,,,,,
your,--undefined--,--undefined--,,,,,,
your,--undefined--,--undefined--,,,,,,
your,--undefined--,--undefined--,,,,,,
your,--undefined--,--undefined--,,,,,,
your,--undefined--,--undefined--,,,,,,
your,--undefined--,--undefined--,,,,,,
your,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,1.476550,265.594126,,,,,,
good,1.481722,261.741909,,,,,,
good,1.486895,264.095852,,,,,,
good,1.492067,267.515507,,,,,,
good,1.497239,271.006103,,,,,,
good,1.502412,274.140494,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,1.523101,145.486858,,,,,,
good,1.528274,147.559495,,,,,,
good,1.533446,149.235485,,,,,,
good,1.538619,150.192099,,,,,,
good,1.543791,150.064085,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
