Word,Time_s,F1_Hz,F2_Hz,F3_Hz,F4_Hz,
your,1.059308,1317.291416,2812.250407,3933.683540,5280.838853,
your,1.065558,263.147429,1677.236336,2805.297592,3804.921148,
your,1.071808,292.894241,2689.859486,3657.970936,4040.258846,
your,1.078058,292.353978,2694.855142,3597.382242,4067.530399,
your,1.084308,293.909466,2696.249570,3601.229632,4092.344624,
your,1.090558,274.238213,2698.948985,3603.829590,4032.223755,
your,1.096808,264.661705,2661.352142,3538.915926,3845.986747,
your,1.103058,264.283177,2664.099455,3516.457783,3840.719939,
your,1.109308,282.561152,2673.944955,3530.182303,3854.515110,
your,1.115558,289.276157,2700.523015,3442.413255,3881.489362,
your,1.121808,288.732855,2726.138991,3284.381710,3833.581991,
your,1.128058,310.518219,2706.692485,3135.039057,3834.164516,
your,1.134308,321.649019,2648.067690,2973.403239,3825.193151,
your,1.140558,337.609622,2535.468087,2833.025764,3817.529323,
your,1.146808,355.642597,2465.786472,2750.998477,3809.720421,
your,1.153058,373.296009,2233.145953,2692.991991,3807.528017,
your,1.159308,391.639203,2086.567122,2708.822694,3802.571725,
your,1.165558,407.127979,1975.869023,2731.333058,3802.690907,
your,1.171808,416.402522,1843.337731,2755.222788,3801.010561,
your,1.178058,423.245114,1627.860852,2777.437557,3769.402732,
your,1.184308,427.775166,1518.214489,2786.221635,3752.653410,
your,1.190558,431.357609,1482.432171,2786.743042,3780.323374,
your,1.196808,433.682441,1443.116888,2752.717081,3743.843934,
your,1.203058,434.529407,1373.504420,2726.096954,3750.117055,
your,1.209308,433.569537,1314.376996,2721.408257,3790.844797,
your,1.215558,432.588403,1292.153944,2657.196436,3803.574078,
your,1.221808,435.507412,1290.492575,2667.266802,3801.901222,
your,1.228058,440.071994,1298.407319,2664.886539,3801.693793,
your,1.234308,446.831047,1310.738232,2642.660733,3791.696082,
your,1.240558,459.229091,1351.518483,2629.407237,3790.318254,
your,1.246808,473.133178,1406.419562,2628.297661,3801.593443,
your,1.253058,482.803024,1450.392316,2626.021700,3814.760644,
your,1.259308,488.753709,1474.595927,2608.964585,3822.060142,
your,1.265558,494.208695,1486.507094,2558.081640,3790.029977,
your,1.271808,501.094226,1498.481609,2515.214130,3771.290757,
your,1.278058,504.449912,1506.862295,2485.974925,3769.807282,
your,1.284308,505.647603,1519.207928,2467.035116,3775.838369,
your,1.290558,502.939524,1531.031597,2448.073007,3783.055185,
your,1.296808,501.122912,1540.168396,2426.245161,3784.924532,
your,1.303058,498.516359,1548.199530,2400.228606,3789.891003,
your,1.309308,494.749717,1543.834845,2370.029098,3784.359430,
your,1.315558,488.245978,1543.883382,2352.328691,3774.158353,
your,1.321808,479.983837,1539.992980,2356.373719,3773.277781,
your,1.328058,475.001055,1545.423277,2375.981907,3762.070272,
your,1.334308,467.270298,1545.622084,2402.890215,3769.117782,
your,1.340558,450.404179,1514.666982,2417.135029,3776.955084,
your,1.346808,431.488022,1472.893452,2426.106955,3816.742332,
your,1.353058,417.115137,1441.690735,2459.075065,3840.013460,
your,1.359308,414.511810,1408.322070,2476.514830,3883.132447,
your,1.365558,410.405512,1367.075690,2412.847991,3982.760120,
your,1.371808,364.950511,1355.723718,2295.745546,3864.934620,
your,1.378058,347.659204,1473.816628,2309.586593,3782.966368,
your,1.384308,372.707074,1490.736376,2433.804547,3856.817522,
your,1.390558,404.790717,1412.913321,2447.743542,3738.758995,
your,1.396808,405.908783,1342.091559,2484.839402,3775.383725,
your,1.403058,442.986168,1383.815790,2487.127891,3796.915731,
your,1.409308,468.335608,1418.294278,2448.799172,3812.002082,
your,1.415558,402.496574,1454.407117,2455.987788,3830.403345,
your,1.421808,381.299766,1491.714825,2485.854325,3830.015050,
your,1.428058,286.026643,1448.804544,2483.826270,3837.345942,
your,1.434308,273.150729,1418.339974,2463.215141,3917.698388,
your,1.440558,445.914154,1480.237802,2552.761674,3946.514308,
good,1.446808,511.163993,1457.799390,2592.257457,3843.905640,
good,1.453058,630.114474,1306.674525,2475.645736,4028.567552,
good,1.459308,860.918139,1359.425808,1781.973187,3997.846330,
good,1.465558,850.432228,1318.802556,1905.483225,4052.348281,
good,1.471808,392.284450,1204.260171,2594.099857,3989.462420,
good,1.478058,415.625220,1181.538961,2806.943785,3948.904208,
good,1.484308,460.593550,1238.452112,2818.083431,3940.533232,
good,1.490558,479.587684,1312.588163,2853.570580,3956.426433,
good,1.496808,495.530313,1368.172421,2917.237185,4036.831421,
good,1.503058,512.475374,1394.155365,2940.866966,4030.409793,
good,1.509308,537.772447,1410.122473,2974.440480,4229.593481,
good,1.515558,575.364300,1430.276379,2998.933785,4204.090957,
good,1.521808,612.607720,1457.825789,2934.585978,4130.489903,
good,1.528058,614.652237,1498.743521,2905.351935,4261.532286,
good,1.534308,584.535164,1511.818758,2966.752556,4234.003456,
good,1.540558,551.183600,1505.990389,2959.383114,4272.883093,
good,1.546808,551.658600,1486.629720,2939.724298,4099.196739,
good,1.553058,496.870740,1459.142906,2979.186463,4247.490634,
good,1.559308,356.771485,1393.495789,2996.115660,4406.984774,
good,1.565558,359.932739,1332.803202,2974.243694,4378.487317,
good,1.571808,428.060535,1462.178208,2943.991128,4043.662650,
good,1.578058,462.540061,1549.681190,2726.871275,3712.012331,
good,1.584308,435.811862,1426.491580,2858.341194,3843.992013,
good,1.590558,378.571276,1433.985815,2937.585548,4366.082494,
good,1.596808,368.985742,1429.874503,2962.822408,4334.692383,
good,1.603058,306.333920,1539.394005,2972.537762,4248.316053,
good,1.609308,320.592032,1383.783281,2965.165493,4258.857794,
good,1.615558,463.417320,1409.458972,3011.078685,4339.006148,
good,1.621808,243.375440,1442.954273,2972.587743,4406.082765,
good,1.628058,68.549461   1,459.100260   2,912.190893   4,382.067365,
good,1.634308,1450.578690,3047.917671, --undefined--,   --undefined--,
good,1.640558,1273.638530,1469.167732,3106.277762,4321.027207,
good,1.646808,1195.951052,1941.510846,2986.121391,4319.142384,
