Word,Time_s,Intensity_dB,,,,,
your,1.056033,37.744703,,,,,
your,1.061550,41.883338,,,,,
your,1.067067,46.160764,,,,,
your,1.072584,52.307281,,,,,
your,1.078101,57.321823,,,,,
your,1.083619,61.036511,,,,,
your,1.089136,64.209759,,,,,
your,1.094653,67.132167,,,,,
your,1.100170,68.155433,,,,,
your,1.105688,67.556054,,,,,
your,1.111205,67.871900,,,,,
your,1.116722,68.927450,,,,,
your,1.122239,69.678455,,,,,
your,1.127757,69.680595,,,,,
your,1.133274,69.885103,,,,,
your,1.138791,70.390962,,,,,
your,1.144308,70.737818,,,,,
your,1.149826,70.997895,,,,,
your,1.155343,71.257271,,,,,
your,1.160860,71.718800,,,,,
your,1.166377,72.382153,,,,,
your,1.171895,73.143389,,,,,
your,1.177412,73.878900,,,,,
your,1.182929,74.576767,,,,,
your,1.188446,75.187711,,,,,
your,1.193964,75.622000,,,,,
your,1.199481,75.854511,,,,,
your,1.204998,75.893143,,,,,
your,1.210515,75.770927,,,,,
your,1.216033,75.578836,,,,,
your,1.221550,75.409198,,,,,
your,1.227067,75.099118,,,,,
your,1.232584,74.581804,,,,,
your,1.238101,74.055439,,,,,
your,1.243619,73.556012,,,,,
your,1.249136,73.139071,,,,,
your,1.254653,72.888965,,,,,
your,1.260170,72.761048,,,,,
your,1.265688,72.733278,,,,,
your,1.271205,72.744994,,,,,
your,1.276722,72.670764,,,,,
your,1.282239,72.454435,,,,,
your,1.287757,72.202818,,,,,
your,1.293274,71.967058,,,,,
your,1.298791,71.729362,,,,,
your,1.304308,71.523758,,,,,
your,1.309826,71.325016,,,,,
your,1.315343,71.103367,,,,,
your,1.320860,70.846376,,,,,
your,1.326377,70.589400,,,,,
your,1.331895,70.449927,,,,,
your,1.337412,70.353531,,,,,
your,1.342929,70.184505,,,,,
your,1.348446,69.785492,,,,,
your,1.353964,68.840276,,,,,
your,1.359481,67.063575,,,,,
your,1.364998,64.638143,,,,,
your,1.370515,62.571641,,,,,
your,1.376033,60.976595,,,,,
your,1.381550,58.717982,,,,,
your,1.387067,55.755547,,,,,
your,1.392584,53.262969,,,,,
your,1.398101,51.524783,,,,,
your,1.403619,49.472241,,,,,
your,1.409136,46.987419,,,,,
your,1.414653,46.328967,,,,,
your,1.420170,46.304378,,,,,
your,1.425688,46.661086,,,,,
your,1.431205,46.427210,,,,,
your,1.436722,43.804478,,,,,
good,1.442239,38.202675,,,,,
good,1.447757,39.327885,,,,,
good,1.453274,45.807448,,,,,
good,1.458791,52.580545,,,,,
good,1.464308,55.846489,,,,,
good,1.469826,60.149705,,,,,
good,1.475343,65.337289,,,,,
good,1.480860,68.681634,,,,,
good,1.486377,70.624247,,,,,
good,1.491895,71.729831,,,,,
good,1.497412,72.199178,,,,,
good,1.502929,72.128147,,,,,
good,1.508446,71.672719,,,,,
good,1.513964,70.867546,,,,,
good,1.519481,69.784704,,,,,
good,1.524998,68.724373,,,,,
good,1.530515,67.941145,,,,,
good,1.536033,67.145521,,,,,
good,1.541550,65.896691,,,,,
good,1.547067,63.789621,,,,,
good,1.552584,61.606120,,,,,
good,1.558101,60.575644,,,,,
good,1.563619,58.543032,,,,,
good,1.569136,55.139080,,,,,
good,1.574653,51.936439,,,,,
good,1.580170,48.688966,,,,,
good,1.585688,48.345159,,,,,
good,1.591205,48.835200,,,,,
good,1.596722,47.563402,,,,,
good,1.602239,45.542735,,,,,
good,1.607757,42.525891,,,,,
good,1.613274,40.322329,,,,,
good,1.618791,38.328302,,,,,
good,1.624308,41.810232,,,,,
good,1.629826,43.078421,,,,,
good,1.635343,45.854516,,,,,
good,1.640860,46.593603,,,,,
good,1.646377,47.165363,,,,,
good,1.651895,48.251345,,,,,
good,1.657412,48.538244,,,,,
good,1.662929,48.769610,,,,,
good,1.668446,47.995992,,,,,
good,1.673964,46.038532,,,,,
good,1.679481,43.754634,,,,,
good,1.684998,44.379719,,,,,
good,1.690515,44.435862,,,,,
good,1.696033,45.735264,,,,,
good,1.701550,47.189967,,,,,
good,1.707067,47.974677,,,,,
pants,1.712584,48.138341,,,,,
pants,1.718101,48.294117,,,,,
pants,1.723619,47.953207,,,,,
pants,1.729136,47.387751,,,,,
pants,1.734653,48.088349,,,,,
pants,1.740170,48.760198,,,,,
pants,1.745688,48.390905,,,,,
pants,1.751205,47.728810,,,,,
pants,1.756722,46.456852,,,,,
pants,1.762239,46.326192,,,,,
pants,1.767757,49.176339,,,,,
pants,1.773274,51.012186,,,,,
pants,1.778791,57.934129,,,,,
pants,1.784308,61.659544,,,,,
pants,1.789826,62.371347,,,,,
pants,1.795343,61.066980,,,,,
pants,1.800860,59.125648,,,,,
pants,1.806377,58.524071,,,,,
pants,1.811895,61.539567,,,,,
pants,1.817412,64.615041,,,,,
pants,1.822929,66.323236,,,,,
pants,1.828446,67.192169,,,,,
pants,1.833964,67.676347,,,,,
pants,1.839481,67.901459,,,,,
pants,1.844998,67.849188,,,,,
pants,1.850515,67.749481,,,,,
pants,1.856033,67.879919,,,,,
pants,1.861550,68.255673,,,,,
pants,1.867067,68.657266,,,,,
pants,1.872584,68.927417,,,,,
pants,1.878101,69.130922,,,,,
pants,1.883619,69.335259,,,,,
pants,1.889136,69.513418,,,,,
pants,1.894653,69.588835,,,,,
pants,1.900170,69.573055,,,,,
pants,1.905688,69.438901,,,,,
pants,1.911205,69.153469,,,,,
pants,1.916722,68.880415,,,,,
pants,1.922239,68.677119,,,,,
pants,1.927757,68.521439,,,,,
pants,1.933274,68.425406,,,,,
pants,1.938791,68.325356,,,,,
pants,1.944308,68.206894,,,,,
pants,1.949826,68.115698,,,,,
pants,1.955343,68.066760,,,,,
pants,1.960860,68.020135,,,,,
pants,1.966377,68.016221,,,,,
pants,1.971895,68.090371,,,,,
pants,1.977412,68.071685,,,,,
pants,1.982929,68.020535,,,,,
pants,1.988446,68.060266,,,,,
pants,1.993964,68.120455,,,,,
pants,1.999481,68.110672,,,,,
pants,2.004998,67.922400,,,,,
pants,2.010515,67.471368,,,,,
pants,2.016033,66.656081,,,,,
pants,2.021550,65.626677,,,,,
pants,2.027067,64.975104,,,,,
pants,2.032584,64.907157,,,,,
pants,2.038101,64.473888,,,,,
pants,2.043619,62.549460,,,,,
pants,2.049136,59.152570,,,,,
pants,2.054653,56.725008,,,,,
pants,2.060170,54.619022,,,,,
pants,2.065688,51.937904,,,,,
pants,2.071205,49.399471,,,,,
pants,2.076722,49.215666,,,,,
pants,2.082239,51.403313,,,,,
pants,2.087757,53.471159,,,,,
pants,2.093274,55.096570,,,,,
pants,2.098791,56.309611,,,,,
pants,2.104308,57.376393,,,,,
pants,2.109826,57.775039,,,,,
pants,2.115343,57.014284,,,,,
pants,2.120860,55.714268,,,,,
pants,2.126377,55.804427,,,,,
pants,2.131895,56.963718,,,,,
pants,2.137412,56.728975,,,,,
pants,2.142929,55.890516,,,,,
pants,2.148446,56.109582,,,,,
pants,2.153964,56.443097,,,,,
pants,2.159481,55.829993,,,,,
pants,2.164998,54.150743,,,,,
pants,2.170515,53.518774,,,,,
pants,2.176033,53.530360,,,,,
pants,2.181550,53.152019,,,,,
pants,2.187067,53.958761,,,,,
pants,2.192584,54.432816,,,,,
pants,2.198101,52.763876,,,,,
pants,2.203619,50.147003,,,,,
pants,2.209136,47.492892,,,,,
pants,2.214653,44.987134,,,,,
pants,2.220170,46.784654,,,,,
pants,2.225688,48.335947,,,,,
pants,2.231205,50.912772,,,,,
pants,2.236722,51.824907,,,,,
pants,2.242239,52.257359,,,,,
pants,2.247757,52.817523,,,,,
pants,2.253274,52.260864,,,,,
pants,2.258791,51.051629,,,,,
pants,2.264308,49.658930,,,,,
pants,2.269826,47.752900,,,,,
pants,2.275343,48.425801,,,,,
pants,2.280860,50.739621,,,,,
look,2.286377,52.825160,,,,,
look,2.291895,55.017302,,,,,
look,2.297412,55.914984,,,,,
look,2.302929,55.869215,,,,,
look,2.308446,55.421955,,,,,
look,2.313964,54.089104,,,,,
look,2.319481,52.331985,,,,,
look,2.324998,50.345790,,,,,
look,2.330515,50.761181,,,,,
look,2.336033,55.611182,,,,,
look,2.341550,61.143936,,,,,
look,2.347067,64.235464,,,,,
look,2.352584,65.950413,,,,,
look,2.358101,67.470083,,,,,
look,2.363619,68.551268,,,,,
look,2.369136,69.378097,,,,,
look,2.374653,70.204278,,,,,
look,2.380170,70.800332,,,,,
look,2.385688,70.587511,,,,,
look,2.391205,69.729612,,,,,
look,2.396722,68.995845,,,,,
look,2.402239,68.608099,,,,,
look,2.407757,68.489537,,,,,
look,2.413274,68.400273,,,,,
look,2.418791,68.167355,,,,,
look,2.424308,67.592285,,,,,
look,2.429826,66.614359,,,,,
look,2.435343,64.904494,,,,,
look,2.440860,62.295384,,,,,
look,2.446377,59.666437,,,,,
look,2.451895,57.448256,,,,,
look,2.457412,55.174993,,,,,
look,2.462929,53.389172,,,,,
look,2.468446,53.291902,,,,,
look,2.473964,53.109930,,,,,
look,2.479481,52.000687,,,,,
look,2.484998,50.303599,,,,,
look,2.490515,48.787517,,,,,
look,2.496033,47.315339,,,,,
look,2.501550,48.074427,,,,,
look,2.507067,50.209842,,,,,
look,2.512584,52.473217,,,,,
look,2.518101,53.423617,,,,,
look,2.523619,54.035394,,,,,
look,2.529136,54.248541,,,,,
look,2.534653,53.749717,,,,,
look,2.540170,52.793624,,,,,
look,2.545688,50.128283,,,,,
look,2.551205,47.564306,,,,,
look,2.556722,45.860950,,,,,
look,2.562239,44.781715,,,,,
look,2.567757,44.926575,,,,,
look,2.573274,45.238937,,,,,
look,2.578791,45.099564,,,,,
look,2.584308,44.249586,,,,,
great,2.589826,44.130935,,,,,
great,2.595343,44.787078,,,,,
great,2.600860,46.206498,,,,,
great,2.606377,48.142764,,,,,
great,2.611895,49.027068,,,,,
great,2.617412,49.023537,,,,,
great,2.622929,47.815632,,,,,
great,2.628446,45.471805,,,,,
great,2.633964,43.383506,,,,,
great,2.639481,42.597190,,,,,
great,2.644998,48.221854,,,,,
great,2.650515,52.529865,,,,,
great,2.656033,56.479204,,,,,
great,2.661550,62.006400,,,,,
great,2.667067,65.912914,,,,,
great,2.672584,67.591253,,,,,
great,2.678101,67.492086,,,,,
great,2.683619,66.589787,,,,,
great,2.689136,65.925228,,,,,
great,2.694653,65.832123,,,,,
great,2.700170,66.082070,,,,,
great,2.705688,66.376010,,,,,
great,2.711205,66.551653,,,,,
great,2.716722,66.625634,,,,,
great,2.722239,66.876858,,,,,
great,2.727757,67.299670,,,,,
great,2.733274,67.660348,,,,,
great,2.738791,67.901074,,,,,
great,2.744308,68.052255,,,,,
great,2.749826,68.022491,,,,,
great,2.755343,67.766463,,,,,
great,2.760860,67.538682,,,,,
great,2.766377,67.562848,,,,,
great,2.771895,67.722255,,,,,
great,2.777412,67.774154,,,,,
great,2.782929,67.711241,,,,,
great,2.788446,67.515341,,,,,
great,2.793964,67.108443,,,,,
great,2.799481,66.606621,,,,,
great,2.804998,66.211113,,,,,
great,2.810515,66.021067,,,,,
great,2.816033,65.961180,,,,,
great,2.821550,66.039970,,,,,
great,2.827067,66.045919,,,,,
great,2.832584,65.986149,,,,,
great,2.838101,65.978545,,,,,
great,2.843619,65.844240,,,,,
great,2.849136,65.434873,,,,,
great,2.854653,64.774271,,,,,
great,2.860170,64.092896,,,,,
great,2.865688,63.489774,,,,,
great,2.871205,62.894873,,,,,
great,2.876722,62.494086,,,,,
great,2.882239,62.282001,,,,,
great,2.887757,62.203509,,,,,
great,2.893274,62.097138,,,,,
great,2.898791,61.845834,,,,,
great,2.904308,61.605560,,,,,
great,2.909826,61.300447,,,,,
great,2.915343,60.807493,,,,,
great,2.920860,60.000131,,,,,
great,2.926377,59.028894,,,,,
great,2.931895,58.126245,,,,,
great,2.937412,57.571538,,,,,
great,2.942929,56.804020,,,,,
great,2.948446,55.818024,,,,,
great,2.953964,54.901815,,,,,
great,2.959481,52.117584,,,,,
great,2.964998,47.997246,,,,,
great,2.970515,44.090934,,,,,
great,2.976033,41.345512,,,,,
great,2.981550,42.893820,,,,,
great,2.987067,45.435578,,,,,
great,2.992584,48.212626,,,,,
great,2.998101,49.333614,,,,,
great,3.003619,49.801204,,,,,
great,3.009136,50.590600,,,,,
great,3.014653,50.913189,,,,,
great,3.020170,51.719114,,,,,
great,3.025688,51.628962,,,,,
great,3.031205,51.055867,,,,,
great,3.036722,49.849707,,,,,
great,3.042239,48.138711,,,,,
great,3.047757,47.693534,,,,,
great,3.053274,47.048907,,,,,
great,3.058791,46.277534,,,,,
great,3.064308,44.991455,,,,,
great,3.069826,43.631222,,,,,
great,3.075343,42.822267,,,,,
great,3.080860,43.234818,,,,,
great,3.086377,44.998916,,,,,
great,3.091895,48.045381,,,,,
great,3.097412,49.454503,,,,,
great,3.102929,50.842739,,,,,
great,3.108446,51.417457,,,,,
great,3.113964,52.306484,,,,,
great,3.119481,53.069292,,,,,
great,3.124998,53.506706,,,,,
great,3.130515,53.613920,,,,,
great,3.136033,52.811649,,,,,
great,3.141550,52.730578,,,,,
great,3.147067,52.155925,,,,,
great,3.152584,51.598575,,,,,
great,3.158101,50.116928,,,,,
great,3.163619,49.556496,,,,,
great,3.169136,50.690555,,,,,
great,3.174653,50.346734,,,,,
great,3.180170,49.626635,,,,,
great,3.185688,48.956958,,,,,
great,3.191205,49.118103,,,,,
great,3.196722,48.742267,,,,,
great,3.202239,47.869294,,,,,
great,3.207757,46.424414,,,,,
great,3.213274,43.473203,,,,,
great,3.218791,41.308801,,,,,
great,3.224308,36.154313,,,,,
great,3.229826,39.534903,,,,,
great,3.235343,44.303030,,,,,
great,3.240860,46.892266,,,,,
great,3.246377,48.182938,,,,,
great,3.251895,48.783079,,,,,
great,3.257412,49.596161,,,,,
great,3.262929,50.207202,,,,,
